model,ndcg@10,recall@10,coverage@10,warm_ndcg@10,warm_recall@10,cold_ndcg@10,cold_recall@10,eval_users,cold_eval_users
top_popular,0.04352965147964726,0.05592854126980146,0.003291866028708134,0.043977806450572254,0.05660920060332597,0.0,0.0,167105,29399
top_popular,0.032903768191537376,0.04718351342909196,0.001090909090909091,0.033158999638661237,0.04757422380425874,0.0,0.0,46091,1603
hybrid_70_30,0.013050576307731212,0.02610265819894602,0.33933014354066987,0.013006642634439462,0.026119019566283527,0.006043184792808063,0.009721355791224786,46091,1603
hybrid_70_30_top500,0.012471973855267117,0.02487731310006813,0.34654545454545455,0.012417161858892425,0.02485220349267308,0.006024067125854527,0.009721355791224786,46091,1603
hybrid_content_popular,0.010085558003889564,0.01993867893501235,0.3654928229665072,0.01000568256687334,0.0198804138371472,0.00620977037974082,0.009721355791224786,46091,1603
content_tfidf_top500,0.006716632072446168,0.012225908855945102,0.39173205741626793,0.006613169161391842,0.012115114344451937,0.00620977037974082,0.009721355791224786,46091,1603
content_tfidf,0.006716477818933661,0.012225908855945102,0.39171291866028707,0.0066130140361814,0.012115114344451937,0.00620977037974082,0.009721355791224786,46091,1603
hybrid_content_popular,0.005458966578473764,0.00944275840254404,0.40708133971291866,0.005387642847081598,0.009405918264741674,0.001572603825248022,0.003010104004185436,167105,29399
content_tfidf,0.003670154883269963,0.006110564928523802,0.44017224880382777,0.003576577794806352,0.00603159999042362,0.0016349496361843959,0.0031461630538129745,167105,29399
